direccion,buzamiento,cabeceo
45.0,61.0,80.0
36.0,59.0,100.0
270.0,80.0,58.0
232.0,68.0,78.0
225.0,63.0,78.0
290.0,88.0,59.0
254.0,78.0,65.0
45.0,60.0,100.0
257.0,61.0,94.0
67.0,56.0,88.0
49.0,70.0,111.0
216.0,50.0,-86.13498755137829
58.0,51.0,101.0
79.0,62.0,103.0
236.0,62.0,84.0
214.0,61.0,75.0
34.0,60.0,104.0
37.0,63.0,95.0
68.0,72.0,63.0
49.0,53.0,90.0
189.0,47.0,-78.93489044312074
237.0,45.0,66.98069011586378
112.0,74.0,114.0
205.0,42.0,-89.25682138844239
214.0,56.0,-87.19914945347992
37.0,77.0,130.0
57.0,61.0,118.0
248.0,58.0,106.0
61.0,67.0,99.0
28.0,58.0,122.0
30.0,69.0,85.0
41.0,63.0,96.0
23.0,68.0,87.0
249.0,48.0,95.0
248.0,69.0,88.0
195.0,68.0,100.0
274.0,70.0,72.0
267.0,71.0,91.0
